section,key,value
main_window,sample_count,240
main_window,connected_fraction,1.0
main_window,reconnect_count,0
main_window,rtt_ms_sample_count,240
main_window,rtt_ms_mean,52.54225128333587
main_window,rtt_ms_median,8.503562999976566
main_window,rtt_ms_p95,116.58297035025949
main_window,rtt_ms_p99,129.63318268965392
main_window,rtt_ms_max,355.3862150001805
main_window,state_age_s_sample_count,240
main_window,state_age_s_mean,0.0563848614692688
main_window,state_age_s_median,0.05238223075866699
main_window,state_age_s_p95,0.10407196283340454
main_window,state_age_s_p99,0.17762587547302097
main_window,state_age_s_max,0.4846198558807373
main_window,rx_count_delta,2286
main_window,crc_errors_delta,0
main_window,scan_msgs_via_wsl_topic,2227
main_window,odom_msgs_via_wsl_topic,2227
main_window,nonzero_cmd_vel_observed,0
full_run,sample_count,296
full_run,connected_fraction,1.0
full_run,reconnect_count,0
full_run,rtt_ms_sample_count,296
full_run,rtt_ms_mean,54.06980975337282
full_run,rtt_ms_median,31.125140000085594
full_run,rtt_ms_p95,115.69930125028804
full_run,rtt_ms_p99,130.38991844964585
full_run,rtt_ms_max,355.3862150001805
full_run,state_age_s_sample_count,296
full_run,state_age_s_mean,0.05584018214328869
full_run,state_age_s_median,0.0519176721572876
full_run,state_age_s_p95,0.10406237840652466
full_run,state_age_s_p99,0.12133994102478142
full_run,state_age_s_max,0.4846198558807373
full_run,rx_count_delta,2815
full_run,crc_errors_delta,0
full_run,scan_msgs_via_wsl_topic,2741
full_run,odom_msgs_via_wsl_topic,2741
full_run,nonzero_cmd_vel_observed,0
bag_main_window,/scan_message_count,2227
bag_main_window,/scan_duration_s,239.900132597
bag_main_window,/scan_avg_rate_hz,9.283029466853446
bag_main_window,/odom_message_count,2227
bag_main_window,/odom_duration_s,239.900392249
bag_main_window,/odom_avg_rate_hz,9.28301941952862
bag_main_window,/epuck_bridge/status_message_count,240
bag_main_window,/epuck_bridge/status_duration_s,238.998258229
bag_main_window,/epuck_bridge/status_avg_rate_hz,1.0041914187091698
bag_main_window,/cmd_vel_message_count,0
bag_main_window,/cmd_vel_duration_s,0.0
bag_main_window,/cmd_vel_avg_rate_hz,
bag_full_run,/scan_message_count,2775
bag_full_run,/scan_duration_s,298.939896715
bag_full_run,/scan_avg_rate_hz,9.28280243117097
bag_full_run,/odom_message_count,2775
bag_full_run,/odom_duration_s,298.939679557
bag_full_run,/odom_avg_rate_hz,9.282809174453805
bag_full_run,/epuck_bridge/status_message_count,299
bag_full_run,/epuck_bridge/status_duration_s,297.998788169
bag_full_run,/epuck_bridge/status_avg_rate_hz,1.0033597849076896
bag_full_run,/cmd_vel_message_count,0
bag_full_run,/cmd_vel_duration_s,0.0
bag_full_run,/cmd_vel_avg_rate_hz,
cmd_vel,nonzero_in_bag_full_run,0
cmd_vel,nonzero_in_bag_main_window,0
wsl_system_full_run,cpu_percent_sample_count,306
wsl_system_full_run,cpu_percent_mean,2.801764705882353
wsl_system_full_run,cpu_percent_median,2.49
wsl_system_full_run,cpu_percent_p95,6.0075
wsl_system_full_run,cpu_percent_p99,7.107499999999995
wsl_system_full_run,cpu_percent_max,19.9
wsl_system_full_run,mem_used_mb_sample_count,306
wsl_system_full_run,mem_used_mb_mean,599.2285620915032
wsl_system_full_run,mem_used_mb_median,600.66
wsl_system_full_run,mem_used_mb_p95,603.56
